source,target,weight
142,608,4.7052
142,1347,4.5474
142,432,4.5049
142,472,4.3677
142,572,4.2236
142,1268,4.1201
142,191,4.0743
142,661,3.9759
142,441,3.9757
142,1236,3.705
142,834,3.6923
142,755,3.6609
142,177,3.6269
142,257,3.5591
142,227,3.5395
142,560,3.4865
142,409,3.462
142,251,3.4261
142,143,3.4185
142,972,3.4174
142,278,3.4093
142,344,3.3961
142,479,3.3791
364,478,16.7077
364,992,11.2781
364,570,10.8519
364,402,10.1426
364,694,9.476
364,823,8.7976
364,830,8.779
364,388,8.4448
364,505,7.933
364,779,7.5517
364,461,5.8428
364,453,5.6671
364,1075,5.3898
364,371,5.3831
364,614,5.1135
364,980,4.9697
364,831,4.6645
364,426,4.2434
364,1219,4.2425
364,534,4.1447
364,1258,4.0533
364,375,4.0188
364,875,3.5793
364,750,3.5468
364,721,3.5276
364,1090,3.5152
364,569,3.4679
288,543,7.1744
288,648,6.3016
288,386,5.7139
288,720,5.5222
288,968,4.9156
288,330,4.2105
288,1037,4.1251
288,303,4.1026
288,1158,4.0276
288,455,4.0042
288,1209,3.9068
288,579,3.841
288,663,3.7554
288,515,3.7108
288,608,3.6044
288,1157,3.5136
288,377,3.2926
288,296,3.2845
288,513,3.1505
288,542,3.1404
288,836,3.0178
288,616,2.9536
288,1251,2.8836
288,1030,2.791
288,605,2.7372
288,1063,2.7306
288,657,2.7039
288,457,2.6629
457,1157,10.1673
457,579,7.584
457,649,7.0122
457,476,6.3417
457,636,5.7183
457,648,5.4189
457,1072,5.3384
457,472,5.2336
457,864,5.211
457,707,4.6901
457,566,4.3729
457,720,4.1337
457,1372,3.8888
457,1049,3.6422
457,504,3.3167
457,542,3.3051
457,667,3.1314
457,622,2.9392
457,494,2.9322
457,665,2.9222
457,608,2.8879
457,1033,2.8716
457,635,2.7803
457,482,2.7593
457,1230,2.7452
457,629,2.7359
11,244,37.3754
11,109,26.728
11,88,25.7589
11,30,25.2915
11,78,24.1503
11,579,22.0221
11,809,19.5758
11,145,19.4189
11,263,16.7683
11,636,16.0709
11,457,15.3739
11,135,15.1714
11,476,14.7124
11,472,13.9191
11,649,13.6026
11,223,13.508
11,622,12.0477
11,345,11.158
11,1372,11.0238
11,383,10.9999
11,131,10.9829
11,149,10.9676
11,1072,10.7432
11,376,10.0694
11,1033,8.7417
11,76,7.9428
11,429,7.6276
11,665,7.4655
11,87,7.2466
11,482,7.2427
11,494,7.0104
11,720,6.935
11,197,6.7989
11,256,6.5525
11,648,6.5089
11,864,6.4156
11,608,6.3593
11,393,6.3579
11,162,5.5367
11,330,5.5278
11,596,5.1914
11,852,5.1016
11,252,5.0867
11,667,4.9397
11,296,4.7724
11,379,4.5841
11,43,4.5785
11,504,4.4868
11,707,4.453
472,579,11.3212
472,636,7.1788
472,542,5.7092
472,649,5.6507
472,1033,5.2444
472,863,4.7804
472,991,4.362
472,864,4.3307
472,482,3.8401
472,648,3.833
472,720,3.6683
472,629,3.2183
472,809,3.135
472,667,3.0466
472,493,3.0409
472,839,3.0331
472,659,3.0042
472,622,2.8684
472,759,2.6654
649,665,4.6733
649,809,4.422
649,667,4.0107
649,1033,3.9467
649,707,3.2993
649,983,2.9669
649,1017,2.9614
649,720,2.928
649,771,2.7964
649,1157,2.5938
649,1323,2.5866
649,1372,2.5253
649,857,2.3505
649,920,2.0996
649,787,2.0725
649,783,1.9594
649,863,1.9013
